symbol,open,high,low,close,epoch,timestamp
BOOM1000,14430.176,14430.176,14428.462,14428.462,1775156700,2026-04-02T21:05:00
CRASH1000,5445.49,5446.17,5445.49,5446.17,1775156700,2026-04-02T21:05:00
BOOM1000,14428.446,14428.446,14427.271,14427.271,1775157000,2026-04-02T21:10:00
CRASH1000,5446.177,5446.595,5446.177,5446.595,1775157000,2026-04-02T21:10:00
CRASH1000,5457.526,5457.774,5457.526,5457.774,1775160900,2026-04-02T22:15:00
BOOM1000,14433.481,14433.481,14432.942,14432.942,1775160900,2026-04-02T22:15:00
CRASH1000,5496.217,5497.764,5496.217,5497.764,1775173200,2026-04-03T01:40:00
BOOM1000,14462.987,14478.176,14459.154,14478.057,1775173200,2026-04-03T01:40:00
CRASH1000,5497.764,5499.32,5497.14,5497.195,1775173500,2026-04-03T01:45:00
BOOM1000,14478.052,14478.052,14473.783,14473.783,1775173500,2026-04-03T01:45:00
BOOM1000,14473.774,14473.774,14469.249,14469.249,1775173800,2026-04-03T01:50:00
CRASH1000,5497.2,5498.973,5497.2,5498.973,1775173800,2026-04-03T01:50:00
BOOM1000,14469.246,14469.246,14464.842,14464.842,1775174100,2026-04-03T01:55:00
CRASH1000,5498.98,5500.507,5498.98,5500.507,1775174100,2026-04-03T01:55:00
BOOM1000,14464.827,14464.827,14460.392,14460.392,1775174400,2026-04-03T02:00:00
CRASH1000,5500.517,5502.186,5500.517,5502.186,1775174400,2026-04-03T02:00:00
CRASH1000,5502.194,5503.862,5502.194,5503.862,1775174700,2026-04-03T02:05:00
BOOM1000,14460.366,14473.114,14456.575,14472.478,1775174700,2026-04-03T02:05:00
CRASH1000,5503.87,5505.508,5503.87,5505.508,1775175000,2026-04-03T02:10:00
BOOM1000,14472.45,14472.45,14468.194,14468.194,1775175000,2026-04-03T02:10:00
CRASH1000,5505.521,5506.635,5505.147,5505.623,1775175300,2026-04-03T02:15:00
CRASH1000,5505.626,5507.372,5505.626,5507.372,1775175600,2026-04-03T02:20:00
CRASH1000,5507.382,5508.993,5507.382,5508.993,1775175900,2026-04-03T02:25:00
CRASH1000,5509.001,5510.643,5509.001,5510.643,1775176200,2026-04-03T02:30:00
CRASH1000,5510.646,5512.216,5510.646,5512.216,1775176500,2026-04-03T02:35:00
CRASH1000,5512.222,5514.023,5512.222,5514.023,1775176800,2026-04-03T02:40:00
CRASH1000,5514.027,5515.588,5514.027,5515.588,1775177100,2026-04-03T02:45:00
CRASH1000,5515.588,5515.731,5511.879,5512.479,1775177400,2026-04-03T02:50:00
CRASH1000,5512.48,5513.469,5502.168,5502.648,1775177700,2026-04-03T02:55:00
CRASH1000,5502.655,5504.392,5502.655,5504.392,1775178000,2026-04-03T03:00:00
CRASH1000,5504.396,5506.004,5504.396,5506.004,1775178300,2026-04-03T03:05:00
CRASH1000,5506.004,5507.69,5506.004,5507.69,1775178600,2026-04-03T03:10:00
CRASH1000,5507.695,5509.337,5507.695,5509.337,1775178900,2026-04-03T03:15:00
CRASH1000,5509.339,5509.35,5504.412,5506.097,1775179200,2026-04-03T03:20:00
CRASH1000,5506.103,5506.47,5490.263,5490.879,1775179500,2026-04-03T03:25:00
CRASH1000,5490.886,5492.506,5490.886,5492.506,1775179800,2026-04-03T03:30:00
CRASH1000,5492.511,5494.071,5492.511,5493.404,1775180100,2026-04-03T03:35:00
CRASH1000,5493.404,5495.053,5493.404,5495.053,1775180400,2026-04-03T03:40:00
CRASH1000,5495.053,5496.243,5489.097,5489.572,1775180700,2026-04-03T03:45:00
CRASH1000,5489.582,5491.335,5489.582,5491.335,1775181000,2026-04-03T03:50:00
