symbol,open,high,low,close,epoch,timestamp
CRASH1000,5457.526,5457.774,5457.526,5457.774,1775160000,2026-04-02T22:00:00
BOOM1000,14433.481,14433.481,14432.942,14432.942,1775160000,2026-04-02T22:00:00
BOOM1000,14462.987,14478.176,14459.154,14464.842,1775170800,2026-04-03T01:00:00
CRASH1000,5496.217,5500.507,5496.217,5500.507,1775170800,2026-04-03T01:00:00
CRASH1000,5500.517,5515.731,5500.517,5502.648,1775174400,2026-04-03T02:00:00
CRASH1000,5502.655,5509.35,5486.747,5488.079,1775178000,2026-04-03T03:00:00
CRASH1000,5488.083,5494.771,5481.125,5494.771,1775181600,2026-04-03T04:00:00
CRASH1000,5494.773,5499.787,5466.922,5472.436,1775185200,2026-04-03T05:00:00
CRASH1000,5472.446,5484.804,5472.446,5484.804,1775188800,2026-04-03T06:00:00
CRASH1000,5484.811,5485.131,5454.004,5454.332,1775192400,2026-04-03T07:00:00
CRASH1000,5454.339,5467.951,5454.339,5467.951,1775196000,2026-04-03T08:00:00
CRASH1000,5467.955,5485.754,5467.955,5485.754,1775199600,2026-04-03T09:00:00
CRASH1000,5485.755,5485.755,5485.755,5485.755,1775203200,2026-04-03T10:00:00
BOOM1000,14464.827,14534.446,14456.575,14520.149,1775174400,2026-04-03T02:00:00
BOOM1000,14520.137,14520.137,14476.624,14476.624,1775178000,2026-04-03T03:00:00
BOOM1000,14476.608,14476.608,14449.875,14460.186,1775181600,2026-04-03T04:00:00
BOOM1000,14460.157,14474.863,14441.378,14469.462,1775185200,2026-04-03T05:00:00
BOOM1000,14469.451,14479.115,14440.784,14477.609,1775188800,2026-04-03T06:00:00
BOOM1000,14477.595,14477.595,14426.383,14429.456,1775192400,2026-04-03T07:00:00
BOOM1000,14429.455,14433.917,14401.049,14418.456,1775196000,2026-04-03T08:00:00
BOOM1000,14418.455,14451.958,14417.53,14423.389,1775199600,2026-04-03T09:00:00
BOOM1000,14423.383,14423.383,14423.383,14423.383,1775203200,2026-04-03T10:00:00
CRASH1000,5490.294,5492.068,5469.808,5483.494,1775206800,2026-04-03T11:00:00
CRASH1000,5483.505,5486.577,5467.598,5474.594,1775210400,2026-04-03T12:00:00
CRASH1000,5474.605,5482.386,5471.328,5482.386,1775214000,2026-04-03T13:00:00
CRASH1000,5482.392,5493.182,5482.392,5493.024,1775217600,2026-04-03T14:00:00
CRASH1000,5493.028,5493.028,5493.028,5493.028,1775221200,2026-04-03T15:00:00
BOOM1000,14476.391,14476.391,14425.063,14431.368,1775206800,2026-04-03T11:00:00
BOOM1000,14431.345,14533.805,14422.028,14525.269,1775210400,2026-04-03T12:00:00
BOOM1000,14525.262,14525.262,14489.074,14489.074,1775214000,2026-04-03T13:00:00
BOOM1000,14489.045,14536.677,14470.257,14529.832,1775217600,2026-04-03T14:00:00
BOOM1000,14529.83,14529.83,14529.83,14529.83,1775221200,2026-04-03T15:00:00
BOOM1000,14508.872,14508.872,14500.679,14500.679,1775224800,2026-04-03T16:00:00
CRASH1000,5512.236,5513.117,5500.049,5501.263,1775224800,2026-04-03T16:00:00
BOOM1000,14504.646,14504.646,14500.679,14500.679,1775224800,2026-04-03T16:00:00
CRASH1000,5508.548,5508.866,5500.049,5501.263,1775224800,2026-04-03T16:00:00
BOOM1000,14507.139,14507.139,14500.679,14500.679,1775224800,2026-04-03T16:00:00
BOOM1000,14503.294,14503.294,14500.679,14500.679,1775224800,2026-04-03T16:00:00
CRASH1000,5500.254,5501.263,5500.254,5501.263,1775224800,2026-04-03T16:00:00
CRASH1000,5512.803,5513.117,5500.049,5501.263,1775224800,2026-04-03T16:00:00
BOOM1000,14501.051,14501.051,14500.679,14500.679,1775224800,2026-04-03T16:00:00
BOOM1000,14510.606,14510.606,14500.679,14500.679,1775224800,2026-04-03T16:00:00
CRASH1000,5501.147,5501.263,5501.147,5501.263,1775224800,2026-04-03T16:00:00
CRASH1000,5511.542,5513.117,5500.049,5501.263,1775224800,2026-04-03T16:00:00
BOOM1000,14500.675,14505.046,14467.515,14493.898,1775228400,2026-04-03T17:00:00
BOOM1000,14493.886,14544.891,14492.262,14509.546,1775232000,2026-04-03T18:00:00
BOOM1000,14509.534,14509.534,14509.534,14509.534,1775235600,2026-04-03T19:00:00
CRASH1000,5501.27,5513.779,5501.27,5503.932,1775228400,2026-04-03T17:00:00
CRASH1000,5503.936,5523.498,5503.936,5523.498,1775232000,2026-04-03T18:00:00
CRASH1000,5523.502,5523.502,5523.502,5523.502,1775235600,2026-04-03T19:00:00
CRASH1000,5496.918,5497.809,5481.499,5483.581,1775239200,2026-04-03T20:00:00
BOOM1000,14488.42,14488.42,14480.408,14480.408,1775239200,2026-04-03T20:00:00
